I [client_worker.cc:224] 2017-06-16 15:45:37.259 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.260 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.263 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.263 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.266 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.266 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.269 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.270 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.272 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.272 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.276 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.279 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.283 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.285 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.289 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.292 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.296 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.301 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.307 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.310 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.313 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.316 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.322 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.325 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.328 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.332 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.338 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.340 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.343 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.347 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.353 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.358 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.364 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.366 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.370 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.370 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.373 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.376 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.381 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.383 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.387 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.387 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.390 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.390 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.394 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.394 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.397 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.397 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.402 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.402 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.406 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.409 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.416 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.421 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.428 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.433 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.440 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.442 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.445 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.448 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.454 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.457 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.462 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.462 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.465 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.465 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.468 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.468 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.471 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.474 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.479 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.481 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.485 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.488 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.492 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.495 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.499 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.499 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.502 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.502 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.505 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.505 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.508 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.512 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.517 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.519 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.523 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.526 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.530 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.532 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.536 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.539 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.546 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.551 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.556 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.561 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.568 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.573 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.579 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.584 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.590 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.593 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.598 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.602 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.607 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.612 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.620 | DispatchRequest: 6
